name,online_order,book_table,rate,votes,location,restaurant_type,cuisines,approx_cost,listed_type,listed_city
Five Star Chicken,True,False,3.9,62,JP Nagar,Quick Bites,"Burger, Fast Food, Roast Chicken, Finger Food",300,Delivery,JP Nagar
Nellore Bhojanam,True,False,3.1,178,Bannerghatta Road,Quick Bites,Andhra,250,Delivery,JP Nagar
Sagar Deluxe,True,False,3.2,170,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,JP Nagar
Chaatimes,True,False,3.8,101,JP Nagar,Quick Bites,"Street Food, Fast Food",200,Delivery,JP Nagar
Poha House,True,False,3.6,7,BTM,Quick Bites,Maharashtrian,200,Delivery,JP Nagar
Antilla Aromas,True,False,3.7,20,Bannerghatta Road,Dessert Parlor,"Desserts, Ice Cream",300,Delivery,JP Nagar
Muthashy's,True,False,4.2,467,BTM,Quick Bites,"Kerala, South Indian, Chinese",400,Delivery,JP Nagar
Donne Biriyani House,True,False,3.3,212,JP Nagar,Quick Bites,"Biryani, Andhra",350,Delivery,JP Nagar
MRA,True,False,3.9,21,BTM,"Takeaway, Delivery",Bakery,200,Delivery,JP Nagar
Shanmukha,True,False,4.4,1972,Jayanagar,Casual Dining,"Biryani, Andhra, North Indian, Chinese",800,Delivery,JP Nagar
Bhukkhad Baba,True,False,3.7,132,JP Nagar,Quick Bites,"North Indian, Beverages",250,Delivery,JP Nagar
Vegetarea,True,False,3.9,38,BTM,"Takeaway, Delivery",South Indian,250,Delivery,JP Nagar
Mysuru Coffee Thindi,True,False,4.1,303,Jayanagar,Quick Bites,"South Indian, Coffee",200,Delivery,JP Nagar
Kitchen Garden,True,False,3.6,247,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,JP Nagar
Ilyazsab The House Of Chicken,True,False,4.0,118,BTM,Quick Bites,"Rolls, Kebab",250,Delivery,JP Nagar
Swad Punjab Da,True,False,4.1,130,BTM,Quick Bites,North Indian,150,Delivery,JP Nagar
Shanthi Sagar,True,False,3.6,519,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,JP Nagar
Burger King,True,False,3.8,474,Bannerghatta Road,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,JP Nagar
Cakebuy,True,False,3.9,70,Bannerghatta Road,Dessert Parlor,Desserts,350,Delivery,JP Nagar
Just Shawarma,True,False,4.3,794,Jayanagar,Quick Bites,Arabian,300,Delivery,JP Nagar
Smoke-A-Pot,True,False,3.5,93,JP Nagar,"Takeaway, Delivery","Biryani, Kebab, Rolls",600,Delivery,JP Nagar
Chicken Magic,True,False,3.7,210,BTM,Quick Bites,"Chinese, North Indian",300,Delivery,JP Nagar
Tasty Bytes,True,False,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,JP Nagar
Abhiruchi Hotel,True,False,3.3,456,Bannerghatta Road,Casual Dining,"Andhra, Biryani, North Indian, Chinese",550,Delivery,JP Nagar
Shree Krishna Sannidhi,True,False,3.4,78,Bannerghatta Road,Quick Bites,"North Indian, Chinese",450,Delivery,JP Nagar
Delight Food,True,False,2.6,174,BTM,Casual Dining,"Andhra, Chinese, Biryani",450,Delivery,JP Nagar
A2B - Adyar Ananda Bhavan,True,False,4.2,53,JP Nagar,"Takeaway, Delivery","South Indian, North Indian, Chinese, Street Food",200,Delivery,JP Nagar
Beijing Bites,True,False,3.7,11,JP Nagar,"Takeaway, Delivery","Chinese, Thai, Momos",400,Delivery,JP Nagar
SL Vadapav,True,False,4.0,79,Jayanagar,Quick Bites,Maharashtrian,100,Delivery,JP Nagar
Pizza Hut,True,False,2.7,159,JP Nagar,Quick Bites,Pizza,750,Delivery,JP Nagar
Swathi Restaurant,True,False,3.9,14,JP Nagar,"Takeaway, Delivery","Andhra, North Indian, Chinese",400,Delivery,JP Nagar
The Good Bowl,True,False,3.7,6,JP Nagar,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,JP Nagar
Chicken Corner,True,False,3.7,25,BTM,Quick Bites,"Biryani, North Indian, Fast Food, Chinese",400,Delivery,JP Nagar
CakeZone,True,False,3.7,15,JP Nagar,"Takeaway, Delivery","Bakery, Desserts",200,Delivery,JP Nagar
Adithya,True,False,4.0,334,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,JP Nagar
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,True,False,3.6,49,JP Nagar,Quick Bites,Bohri,300,Delivery,JP Nagar
Faasos,True,False,3.9,313,JP Nagar,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,JP Nagar
Kedia's Fun Food,True,False,4.3,632,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,JP Nagar
Krispy Kreme,True,False,4.0,253,Jayanagar,Dessert Parlor,"Desserts, Beverages",300,Delivery,JP Nagar
Kaapi Kuteera,True,False,3.5,86,Kanakapura Road,Quick Bites,South Indian,100,Delivery,JP Nagar
Kuttanad,True,False,3.6,140,Bannerghatta Road,Quick Bites,"Kerala, South Indian",200,Delivery,JP Nagar
BingeJoy!,True,False,3.7,18,JP Nagar,Kiosk,"Biryani, Chinese, Fast Food",100,Delivery,JP Nagar
Juice Shop,True,False,3.4,26,JP Nagar,"Takeaway, Delivery","Juices, Beverages, Ice Cream",150,Delivery,JP Nagar
Shaadi Ki Biryani,True,False,3.1,31,BTM,"Takeaway, Delivery","Biryani, North Indian, Mughlai",400,Delivery,JP Nagar
Veg By Nature,True,False,3.4,14,JP Nagar,"Takeaway, Delivery",North Indian,200,Delivery,JP Nagar
Davangere Butter Dosa Hotel,True,False,3.8,25,Kumaraswamy Layout,Quick Bites,South Indian,150,Delivery,JP Nagar
Madeena Hotel,True,False,3.9,54,Bannerghatta Road,Quick Bites,"North Indian, Mughlai, Biryani",400,Delivery,JP Nagar
Cheesiano Pizza,True,True,4.0,205,JP Nagar,Quick Bites,"Pizza, Italian",700,Delivery,JP Nagar
Kabab Magic,True,False,4.0,958,Jayanagar,Quick Bites,"North Indian, Kebab, Fast Food",500,Delivery,JP Nagar
Cafe Potpourri,True,False,3.7,132,JP Nagar,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts",400,Delivery,JP Nagar
Nandhi Andhra Style Family Restaurant,True,False,3.4,13,Jayanagar,Quick Bites,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab",400,Delivery,JP Nagar
KFC,True,False,3.3,351,Jayanagar,Quick Bites,"Burger, Fast Food",400,Delivery,JP Nagar
Lassi Shop,True,False,3.9,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,JP Nagar
Arabian Mexico,True,False,3.4,44,Bannerghatta Road,Quick Bites,"Fast Food, Arabian",400,Delivery,JP Nagar
OMG Biriyani,True,False,3.4,16,BTM,Quick Bites,"Biryani, Andhra, Chinese",600,Delivery,JP Nagar
Sri Punjabi Dhaba,True,False,3.3,46,BTM,Dhaba,North Indian,400,Delivery,JP Nagar
Keventers,True,False,3.9,210,Jayanagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery,JP Nagar
Namma Brahmin's Idli,True,False,3.7,37,Jayanagar,Quick Bites,South Indian,100,Delivery,JP Nagar
New Mahesh Friends Food Corner,True,False,3.2,49,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,JP Nagar
Behrouz Biryani,True,False,4.0,190,JP Nagar,Delivery,Biryani,650,Delivery,JP Nagar
Le Arabia,True,False,,0,JP Nagar,Casual Dining,"North Indian, Mughlai",600,Delivery,JP Nagar
Fujian Express,True,False,3.4,35,JP Nagar,Quick Bites,"Chinese, Thai",200,Delivery,JP Nagar
Paradise,True,False,4.0,1986,JP Nagar,Casual Dining,"Biryani, North Indian, Kebab",800,Delivery,JP Nagar
Mahesh Friends Food Center,True,False,2.9,132,BTM,Quick Bites,"Chinese, North Indian",300,Delivery,JP Nagar
Cakewala,True,False,4.1,232,JP Nagar,Bakery,"Bakery, Desserts",500,Delivery,JP Nagar
Hari Super Sandwich,True,False,3.9,15,BTM,Quick Bites,"Sandwich, Fast Food",100,Delivery,JP Nagar
Roll N Rock,True,False,3.9,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,JP Nagar
Ghee Biryanis,True,False,3.4,137,BTM,"Takeaway, Delivery","Biryani, North Indian",500,Delivery,JP Nagar
Hind Ka Chulah,True,False,3.8,182,Bannerghatta Road,Food Court,"North Indian, Biryani",600,Delivery,JP Nagar
Mani's Dum Biryani,True,False,4.2,380,JP Nagar,Casual Dining,"Biryani, Kebab",750,Delivery,JP Nagar
Polar Bear,True,False,3.9,20,BTM,"Takeaway, Delivery","Desserts, Ice Cream",300,Delivery,JP Nagar
Dadi's Dum Biryani,True,True,4.0,743,Bannerghatta Road,Casual Dining,"Biryani, North Indian, Mughlai",800,Delivery,JP Nagar
Shiv Sai Hotel,True,False,3.5,74,Bannerghatta Road,Quick Bites,North Indian,400,Delivery,JP Nagar
Burj Hotel,True,False,3.5,57,Bannerghatta Road,Quick Bites,"North Indian, Chinese",350,Delivery,JP Nagar
Biryani Durbar,True,False,3.7,129,Bannerghatta Road,"Takeaway, Delivery","Biryani, North Indian",400,Delivery,JP Nagar
The Shawarma Shop,True,False,4.1,381,BTM,Quick Bites,Arabian,250,Delivery,JP Nagar
A M Biryani Hotel,True,False,3.3,6,Bannerghatta Road,Quick Bites,"North Indian, Chinese, Biryani, Fast Food",300,Delivery,JP Nagar
Sri Vishnu Park,True,False,3.8,99,BTM,Casual Dining,"South Indian, North Indian, Chinese",350,Delivery,JP Nagar
Onesta,True,True,4.4,4410,JP Nagar,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,JP Nagar
Tandoori Paradise,True,False,3.5,8,BTM,Delivery,"North Indian, Chinese",600,Delivery,JP Nagar
Sri Udupi Food Hub,True,True,4.1,176,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,JP Nagar
Night Biryani,True,False,3.2,21,BTM,"Takeaway, Delivery","Biryani, North Indian",600,Delivery,JP Nagar
Goli Vada Pav No. 1,True,False,3.8,65,Kumaraswamy Layout,Quick Bites,Street Food,200,Delivery,JP Nagar
Samosa Singh,True,False,4.0,153,JP Nagar,Quick Bites,"Street Food, Fast Food, Rolls, Desserts",200,Delivery,JP Nagar
Nati Palace,True,False,3.5,11,JP Nagar,Quick Bites,"South Indian, North Indian",200,Delivery,JP Nagar
Nammura Donne Biriyani,True,False,3.2,5,Bannerghatta Road,Quick Bites,Biryani,300,Delivery,JP Nagar
Red Chilli Restaurant,True,False,3.2,94,Bannerghatta Road,Quick Bites,"North Indian, Chinese",350,Delivery,JP Nagar
Kanti Sweets,True,False,4.0,183,JP Nagar,Sweet Shop,"Mithai, Street Food",400,Delivery,JP Nagar
Starlite Bakery & Fastfood,True,False,3.7,23,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300,Delivery,JP Nagar
Karama Restaurant,True,False,3.4,18,JP Nagar,"Takeaway, Delivery",Arabian,400,Delivery,JP Nagar
Kabab Mehal,True,False,3.7,66,JP Nagar,Quick Bites,"Kebab, North Indian, Fast Food, Beverages",400,Delivery,JP Nagar
Fresh Kitchen,True,False,3.3,22,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Delivery,JP Nagar
Warm Oven,True,False,3.9,34,BTM,Bakery,"Bakery, Desserts",500,Delivery,JP Nagar
Prasiddhi Food Corner,True,False,3.7,171,JP Nagar,Quick Bites,"Fast Food, North Indian, South Indian",200,Delivery,JP Nagar
Indian Food,True,False,2.9,345,BTM,"Takeaway, Delivery","North Indian, Biryani, Chinese, Momos",450,Delivery,JP Nagar
Brundhavana Food Point,True,False,4.0,193,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Beverages",300,Delivery,JP Nagar
Mughlai Kitchen,True,False,3.5,270,BTM,,"Mughlai, North Indian, Chinese, Momos",600,Delivery,JP Nagar
Pathaan Sir,True,False,3.9,183,BTM,Quick Bites,"Fast Food, Rolls, Momos",250,Delivery,JP Nagar
Sankranthi Veg Restaurant,True,False,3.0,102,BTM,Casual Dining,"South Indian, North Indian, Chinese",600,Delivery,JP Nagar
Roll Over,True,False,4.1,240,JP Nagar,Dessert Parlor,"Ice Cream, Beverages, Fast Food",500,Delivery,JP Nagar
Sher-E-Punjab,True,False,3.2,19,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,JP Nagar
Chai Point,True,False,3.2,209,Jayanagar,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,JP Nagar
Galito's,True,False,4.6,409,Bannerghatta Road,Casual Dining,"African, Burger",1000,Delivery,JP Nagar
Odissi Restaurant,True,False,2.9,65,BTM,Casual Dining,"Oriya, Bengali",500,Delivery,JP Nagar
Dande's Hyderabad Biryani,True,False,3.8,209,Bannerghatta Road,Casual Dining,"Biryani, Andhra, North Indian",700,Delivery,JP Nagar
C. K. Mega Hot Food,True,False,3.9,100,BTM,Casual Dining,"Chinese, Momos",600,Delivery,JP Nagar
Marwa Restaurant,True,True,3.5,551,Bannerghatta Road,Casual Dining,"North Indian, Chinese, Fast Food, BBQ",600,Delivery,JP Nagar
Patio 805,True,True,4.1,367,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery,JP Nagar
Yum In My Tum,True,False,4.2,102,BTM,Quick Bites,"Chinese, Continental, Fast Food, Healthy Food",300,Delivery,JP Nagar
Chokha Chowka,True,False,3.9,358,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,JP Nagar
Nandhanu's Rasoi,True,False,3.0,177,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian",400,Delivery,JP Nagar
Bangalore Agarwal Bhavan,True,False,3.9,136,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400,Delivery,JP Nagar
Amontron,True,False,3.9,438,BTM,Casual Dining,Bengali,650,Delivery,JP Nagar
Shree Udupi Grand,True,False,3.5,19,Kanakapura Road,Casual Dining,"South Indian, Chinese, North Indian",400,Delivery,JP Nagar
Tanna's Kitchen,True,False,3.1,7,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250,Delivery,JP Nagar
Olive - Era,True,False,3.3,513,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Chinese, Kebab, Beverages",700,Delivery,JP Nagar
Sri Krishna Aramane,True,False,3.7,41,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Fast Food",200,Delivery,JP Nagar
Mast Punjabi,True,False,2.6,231,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Rolls, Biryani, Kebab",400,Delivery,JP Nagar
Ashirvaad Grand,True,False,4.0,113,BTM,Quick Bites,"Chinese, North Indian, South Indian",400,Delivery,JP Nagar
Vijayalakshmi Veg,True,False,3.9,97,Jayanagar,Quick Bites,South Indian,200,Delivery,JP Nagar
Bathinda Tandoor,True,False,,0,BTM,Quick Bites,North Indian,300,Delivery,JP Nagar
Richie Rich,True,False,3.1,14,JP Nagar,"Takeaway, Delivery","Desserts, Ice Cream, Beverages",250,Delivery,JP Nagar
Biryani Royals Garden,True,False,,0,Kumaraswamy Layout,Quick Bites,"North Indian, Biryani, Mughlai",500,Delivery,JP Nagar
Desi Dawat,True,False,3.7,248,Kumaraswamy Layout,Quick Bites,"North Indian, Fast Food",400,Delivery,JP Nagar
Firangi Bake,True,False,4.0,97,Bannerghatta Road,Delivery,"Mexican, Italian",600,Delivery,JP Nagar
Punjabi Food Corner,True,False,3.0,354,JP Nagar,Quick Bites,"North Indian, Chinese, Street Food",400,Delivery,JP Nagar
Tummy Fuel,True,False,4.2,450,Jayanagar,Cafe,"Cafe, Beverages, Fast Food",400,Delivery,JP Nagar
Jaganath Hotel and Restaurant,True,False,3.6,35,JP Nagar,Quick Bites,"North Indian, Chinese",200,Delivery,JP Nagar
Paani Kum Chai,True,False,4.0,25,JP Nagar,Beverage Shop,"Beverages, Fast Food",200,Delivery,JP Nagar
Taaza Mithai,True,False,3.9,47,JP Nagar,Sweet Shop,"Mithai, Street Food",100,Delivery,JP Nagar
The Spice Saga,True,False,3.7,126,Kumaraswamy Layout,Casual Dining,"Biryani, North Indian, Chinese, Seafood",750,Delivery,JP Nagar
RB Food Point,True,False,3.7,34,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,JP Nagar
Gorbandh,True,False,4.0,85,BTM,Quick Bites,"Fast Food, North Indian",400,Delivery,JP Nagar
Calcutta Cafe,True,False,3.5,46,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,JP Nagar
Mitraa Da Pizza,True,False,3.8,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250,Delivery,JP Nagar
Tarbouche,True,False,3.8,12,BTM,Quick Bites,"Turkish, Rolls",300,Delivery,JP Nagar
Stories,True,True,4.2,2206,JP Nagar,"Pub, Casual Dining","American, Chinese, Continental, North Indian",1200,Delivery,JP Nagar
Cake Paradise,True,False,,0,Jayanagar,Bakery,"Bakery, Desserts",350,Delivery,JP Nagar
Zaitoon,True,True,4.1,1547,JP Nagar,Casual Dining,"BBQ, Arabian, Chinese, North Indian, Desserts",1000,Delivery,JP Nagar
Moksha,True,False,3.6,42,Kanakapura Road,"Casual Dining, Bar","Chinese, North Indian, Mughlai",500,Delivery,JP Nagar
Indiana Burgers,True,False,3.4,23,BTM,Delivery,Burger,300,Delivery,JP Nagar
Adyar Ananda Bhavan Sweets,True,False,3.6,4,JP Nagar,"Takeaway, Delivery","Mithai, Desserts",200,Delivery,JP Nagar
Cafe Zone,True,False,3.9,152,Kumaraswamy Layout,Quick Bites,"Fast Food, Chinese, Rolls",300,Delivery,JP Nagar
Balaji Bombay Vada Pav Gujrati Dalebi,True,False,3.8,38,JP Nagar,Takeaway,"Street Food, Sandwich",150,Delivery,JP Nagar
Savoury - Sea Shell Restaurant,True,True,3.9,1230,Bannerghatta Road,Casual Dining,"Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",900,Delivery,JP Nagar
Cold Stone Creamery,True,False,3.9,101,Bannerghatta Road,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,JP Nagar
Bombay Talkies,True,False,3.7,21,Jayanagar,Quick Bites,"Maharashtrian, Fast Food, Street Food, Sandwich",200,Delivery,JP Nagar
Juice Land,True,False,3.9,142,Bannerghatta Road,Beverage Shop,"Juices, Beverages",300,Delivery,JP Nagar
Taco Bell,True,False,3.7,168,Bannerghatta Road,Quick Bites,"Mexican, American, Fast Food",600,Delivery,JP Nagar
Kundana,True,False,3.7,111,Bannerghatta Road,Casual Dining,"Andhra, Biryani",800,Delivery,JP Nagar
Rustic Stove,True,False,3.8,578,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,Delivery,JP Nagar
Grills & Rolls,True,False,2.5,321,JP Nagar,Quick Bites,"North Indian, Chinese, Fast Food, Rolls, Juices",400,Delivery,JP Nagar
Magix's Parattha Roll,True,False,3.8,184,BTM,Quick Bites,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400,Delivery,JP Nagar
Mealer.in,True,False,4.0,206,JP Nagar,Delivery,"North Indian, Biryani",450,Delivery,JP Nagar
New Kabab Zone,True,False,3.7,84,Bannerghatta Road,Quick Bites,"North Indian, Fast Food",500,Delivery,JP Nagar
Maggi N Maggi House,True,False,3.4,22,Bannerghatta Road,"Takeaway, Delivery",Fast Food,300,Delivery,JP Nagar
Ambur Star Dum Biryani,True,False,3.4,17,Jayanagar,Quick Bites,Biryani,100,Delivery,JP Nagar
Upahara Darshini,True,False,4.0,166,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,JP Nagar
Chef Delicacies,True,False,3.1,8,JP Nagar,"Takeaway, Delivery","Kebab, Rolls, Charcoal Chicken",400,Delivery,JP Nagar
PHEW (Play Hard Eat Wild),True,True,3.9,488,BTM,Cafe,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,Delivery,JP Nagar
Donne Biryani & Kabab Corner,True,False,3.3,12,Kumaraswamy Layout,Quick Bites,"Chinese, Biryani",200,Delivery,JP Nagar
Shakes Theory,True,False,4.5,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,Delivery,JP Nagar
Bhojohori Manna,True,False,3.7,666,JP Nagar,Casual Dining,"Bengali, Mughlai",650,Delivery,JP Nagar
The Belgian Waffle Co.,True,False,3.8,151,Jayanagar,Dessert Parlor,"Desserts, Beverages",350,Delivery,JP Nagar
Amritsari Kulcha Land,True,False,4.0,260,JP Nagar,Quick Bites,North Indian,300,Delivery,JP Nagar
Shagun Sweets & Foods,True,False,3.5,221,BTM,"Sweet Shop, Quick Bites","Mithai, North Indian, Street Food, Chinese",400,Delivery,JP Nagar
Chetty's Corner,True,False,3.6,21,Jayanagar,Quick Bites,"Fast Food, Burger",150,Delivery,JP Nagar
SGS Non Veg - Gundu Pulav,True,False,3.9,121,Bannerghatta Road,Quick Bites,"Biryani, South Indian",300,Delivery,JP Nagar
Bikaner Jn,True,False,3.9,85,JP Nagar,Quick Bites,Rajasthani,300,Delivery,JP Nagar
Kolkata Famous Kati Roll,True,False,3.5,11,JP Nagar,Quick Bites,"Rolls, Chinese",200,Delivery,JP Nagar
Protein Grillhouse,True,True,4.2,177,Jayanagar,Casual Dining,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800,Delivery,JP Nagar
Dreamcatcher,True,False,3.9,50,Bannerghatta Road,Cafe,Cafe,600,Delivery,JP Nagar
Sagar Grand,True,False,3.8,31,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,JP Nagar
Momo Jojo,True,False,4.3,539,JP Nagar,Quick Bites,"Chinese, Tibetan, Momos",300,Delivery,JP Nagar
Dwaraka Krishna,True,False,3.7,328,BTM,"Takeaway, Delivery","North Indian, Biryani, Chinese",500,Delivery,JP Nagar
Bhavani Chats,True,False,3.6,34,Bannerghatta Road,Quick Bites,Street Food,100,Delivery,JP Nagar
Agarwal Food Service,True,False,3.8,267,Bannerghatta Road,Delivery,"North Indian, Chinese, Biryani",400,Delivery,JP Nagar
Waffle Head,True,False,4.0,36,BTM,"Dessert Parlor, Beverage Shop","Desserts, Beverages, Bakery, Ice Cream",300,Delivery,JP Nagar
Mystique Palate,True,False,4.1,339,Jayanagar,Quick Bites,"Chinese, Fast Food",300,Delivery,JP Nagar
Dwaraka Grand,True,False,3.9,128,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,Delivery,JP Nagar
Cake Chemistry,True,False,,0,Jayanagar,Bakery,"Bakery, Desserts",500,Delivery,JP Nagar
@Italy,True,False,4.1,306,Kumaraswamy Layout,Casual Dining,Italian,700,Delivery,JP Nagar
SR Choco Station,True,False,3.4,7,JP Nagar,"Takeaway, Delivery",Desserts,200,Delivery,JP Nagar
Yummy Momos,True,False,3.6,45,Bannerghatta Road,Kiosk,"Momos, Street Food, Fast Food, Tibetan, Chinese",200,Delivery,JP Nagar
Deejas Kitchen,True,False,3.9,73,Bannerghatta Road,"Takeaway, Delivery","South Indian, Kerala",400,Delivery,JP Nagar
Wat-a-Burger!,True,False,4.0,108,Jayanagar,Quick Bites,"Burger, Sandwich, Beverages",500,Delivery,JP Nagar
Darshan Paradise Restaurant,True,False,3.6,15,BTM,Quick Bites,"North Indian, Chinese",250,Delivery,JP Nagar
Brewsky,True,True,4.3,4321,JP Nagar,Microbrewery,"Continental, American",1600,Delivery,JP Nagar
Ishta Cafe,True,False,3.9,42,Jayanagar,Quick Bites,"Pizza, South Indian, Healthy Food",500,Delivery,JP Nagar
Dakshin Grand,True,False,3.0,82,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,JP Nagar
Sweet Truth,True,False,3.7,34,Bannerghatta Road,Bakery,"Bakery, Desserts",500,Delivery,JP Nagar
Yumme Veg,True,False,3.6,14,Bannerghatta Road,"Takeaway, Delivery","Fast Food, Street Food",200,Delivery,JP Nagar
Masale Daan,True,False,,0,JP Nagar,"Takeaway, Delivery",North Indian,350,Delivery,JP Nagar
Slate Cafe,True,False,4.1,53,JP Nagar,Cafe,"Cafe, Sandwich, Burger",600,Delivery,JP Nagar
The Cake Ville,True,False,3.2,18,JP Nagar,"Bakery, Quick Bites","Bakery, Desserts, Fast Food",300,Delivery,JP Nagar
Snacks Bite,True,False,3.0,9,Kumaraswamy Layout,Quick Bites,"Fast Food, Momos",400,Delivery,JP Nagar
Thalassery Restaurant,True,False,,0,Bannerghatta Road,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600,Delivery,JP Nagar
Sri Sai 99 Variety Dosa,True,False,3.7,32,Bannerghatta Road,Quick Bites,South Indian,300,Delivery,JP Nagar
AlienSip,True,False,3.6,11,BTM,Beverage Shop,Juices,200,Delivery,JP Nagar
Tandoor Chai House,True,False,3.5,7,JP Nagar,Quick Bites,"Street Food, Sandwich, Rolls, Beverages",200,Delivery,JP Nagar
Iyengar Bakery,True,False,3.7,28,Jayanagar,"Bakery, Quick Bites","Bakery, Fast Food, Desserts, Beverages",200,Delivery,JP Nagar
Yummy Momos,True,False,3.3,5,Kumaraswamy Layout,Quick Bites,"Momos, Tibetan, Chinese",200,Delivery,JP Nagar
Babu Moshai,True,False,3.1,43,Bannerghatta Road,Quick Bites,"Fast Food, Bengali",500,Delivery,JP Nagar
KC Das- Sweet World,True,False,3.3,5,JP Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Delivery,JP Nagar
LayerBite,True,False,3.8,10,BTM,Bakery,"Bakery, Desserts, Beverages",450,Delivery,JP Nagar
Chow San,True,False,3.0,122,Bannerghatta Road,Casual Dining,"Chinese, Thai, Momos",500,Delivery,JP Nagar
A1 Garam Masala,True,False,3.6,25,Kanakapura Road,Casual Dining,"North Indian, Andhra, Chinese",500,Delivery,JP Nagar
Sandwichwallas,True,False,3.6,33,JP Nagar,Quick Bites,Fast Food,200,Delivery,JP Nagar
Oogway Express,True,False,3.9,349,JP Nagar,Casual Dining,"Chinese, Thai, Momos",600,Delivery,JP Nagar
Bombay Sandwich Company,True,False,,0,JP Nagar,Delivery,"Sandwich, Beverages",400,Delivery,JP Nagar
Tiwari's,True,False,3.8,69,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery,JP Nagar
Bangalore Pantry,True,False,,0,Bannerghatta Road,Quick Bites,"Chinese, North Indian, Biryani, Arabian",400,Delivery,JP Nagar
New Udupi Grand,True,False,3.5,47,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,JP Nagar
Nagas,True,False,3.0,10,JP Nagar,Quick Bites,"Andhra, Hyderabadi, North Indian",300,Delivery,JP Nagar
Laddoos,True,False,3.4,277,BTM,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai",250,Delivery,JP Nagar
Gowdru Mane Oota,True,False,3.7,82,JP Nagar,Quick Bites,"South Indian, Andhra",400,Delivery,JP Nagar
UP Style North Indian Food,True,False,3.6,47,Jayanagar,"Takeaway, Delivery",North Indian,100,Delivery,JP Nagar
BANGALORE BOX,True,True,4.1,627,BTM,"Casual Dining, Bar","Asian, Continental, Finger Food",1500,Delivery,JP Nagar
McDonald's,True,False,4.0,258,Bannerghatta Road,Quick Bites,"Burger, Fast Food",500,Delivery,JP Nagar
Classic Shop,True,False,3.8,11,BTM,Beverage Shop,"Beverages, Juices",150,Delivery,JP Nagar
Lassi Berg,True,False,3.5,13,BTM,Takeaway,Juices,100,Delivery,JP Nagar
